Loop,DMRG Energy,Bond Dimension fcidump.31_4a 
-1,-5103.750551172530,5
0,-5103.749648114460,6
1,-5103.770524909580,7
2,-5103.782593107290,8
3,-5103.791400349330,9
4,-5103.789650404840,10
5,-5103.800399801570,11
6,-5103.811057747360,13
7,-5103.814146899300,15
8,-5103.817815455210,17
9,-5103.824708128860,19
10,-5103.828055005800,21
11,-5103.833160287370,24
12,-5103.836630063500,27
13,-5103.841563898540,30
14,-5103.847704837560,33
15,-5103.850125437110,37
16,-5103.854882453410,41
17,-5103.859940893630,46
18,-5103.861601382940,51
19,-5103.862868835590,57
20,-5103.866009390600,63
21,-5103.867322944850,70
22,-5103.870011273530,77
23,-5103.872653065160,85
24,-5103.874469206420,94
25,-5103.875178494840,104
26,-5103.877176794090,115
27,-5103.877848159040,127
28,-5103.878621958420,140
29,-5103.879352144500,154
30,-5103.880205573200,170
31,-5103.881054034140,188
32,-5103.881653394470,207
33,-5103.882192921030,228
34,-5103.882715435470,251
35,-5103.883180380610,277
36,-5103.883663974070,305
37,-5103.884007361790,336
38,-5103.884460377250,370
39,-5103.884774739020,408
40,-5103.885061821740,449
41,-5103.885372741650,494
42,-5103.885651174250,544
43,-5103.885882701060,599
44,-5103.886094439870,659
